BOROUGH,POLICE_PRECINCT,CREATED_DATE
BRONX,Precinct 47,12/10/14
BRONX,Precinct 45,12/15/14
BRONX,Precinct 49,12/17/14
BRONX,Precinct 42,12/10/14
BRONX,Precinct 47,12/10/14
BRONX,Precinct 49,12/10/14
BRONX,Precinct 40,12/16/14
MANHATTAN,Precinct 7,12/19/14
MANHATTAN,Precinct 5,12/15/14
QUEENS,Precinct 105,12/15/14
BROOKLYN,Precinct 63,12/23/14
BROOKLYN,Precinct 75,12/3/14
BROOKLYN,Precinct 72,12/11/14
QUEENS,Precinct 110,12/11/14
BRONX,Precinct 52,12/10/14
BROOKLYN,Precinct 90,12/3/14
BRONX,Precinct 48,12/10/14
QUEENS,Precinct 114,12/15/14
BRONX,Precinct 40,12/3/14
BROOKLYN,Precinct 70,12/16/14
BROOKLYN,Precinct 81,12/3/14
BRONX,Precinct 52,12/10/14
BRONX,Precinct 40,12/11/14
BROOKLYN,Precinct 90,12/29/14
BROOKLYN,Precinct 73,12/17/14
BROOKLYN,Precinct 66,12/10/14
BROOKLYN,Precinct 66,12/10/14
BRONX,Precinct 40,12/16/14
QUEENS,Precinct 105,12/15/14
MANHATTAN,Precinct 32,12/17/14
BROOKLYN,Precinct 72,12/12/14
BROOKLYN,Precinct 61,12/31/14
BROOKLYN,Precinct 75,12/10/14
BROOKLYN,Precinct 88,12/10/14
BROOKLYN,Precinct 84,12/3/14
BROOKLYN,Precinct 75,12/9/14
BROOKLYN,Precinct 66,12/19/14
BROOKLYN,Precinct 72,12/12/14
BRONX,Precinct 49,12/4/14
BRONX,Precinct 49,12/17/14
BROOKLYN,Precinct 90,12/30/14
BROOKLYN,Precinct 61,12/29/14
BROOKLYN,Precinct 70,12/17/14
QUEENS,Precinct 114,12/8/14
BROOKLYN,Precinct 72,12/12/14
BRONX,Precinct 45,12/3/14
BRONX,Precinct 42,12/2/14
BROOKLYN,Precinct 94,12/1/14
QUEENS,Precinct 114,12/15/14
MANHATTAN,Precinct 28,12/2/14
BRONX,Precinct 48,12/10/14
BROOKLYN,Precinct 75,12/4/14
BROOKLYN,Precinct 68,12/7/14
BROOKLYN,Precinct 66,12/10/14
BROOKLYN,Precinct 77,12/11/14
BRONX,Precinct 40,12/16/14
QUEENS,Precinct 113,12/15/14
BROOKLYN,Precinct 71,12/11/14
BROOKLYN,Precinct 61,12/31/14
BROOKLYN,Precinct 72,12/22/14
BRONX,Precinct 45,12/20/14
BRONX,Precinct 45,12/20/14
BROOKLYN,Precinct 75,12/24/14
BRONX,Precinct 49,12/10/14
QUEENS,Precinct 105,12/15/14
MANHATTAN,Precinct 34,12/2/14
BRONX,Precinct 46,12/20/14
BROOKLYN,Precinct 84,12/16/14
BRONX,Precinct 52,12/2/14
BROOKLYN,Precinct 70,12/23/14
MANHATTAN,Precinct 32,12/6/14
MANHATTAN,Precinct 33,12/19/14
BRONX,Precinct 48,12/10/14
MANHATTAN,Precinct 5,12/14/14
MANHATTAN,Precinct 5,12/12/14
BROOKLYN,Precinct 63,12/3/14
BROOKLYN,Precinct 72,12/12/14
QUEENS,Precinct 111,12/15/14
BRONX,Precinct 48,12/10/14
BRONX,Precinct 45,12/20/14
BRONX,Precinct 50,12/28/14
BROOKLYN,Precinct 72,12/11/14
BROOKLYN,Precinct 72,12/3/14
BRONX,Precinct 45,12/15/14
BRONX,Precinct 49,12/4/14
MANHATTAN,Precinct 13,12/2/14
MANHATTAN,Precinct 1,12/22/14
MANHATTAN,Precinct 33,12/19/14
BRONX,Precinct 40,12/5/14
BRONX,Precinct 43,12/4/14
QUEENS,Precinct 114,12/15/14
MANHATTAN,Precinct 5,12/16/14
BROOKLYN,Precinct 68,12/7/14
BRONX,Precinct 40,12/5/14
QUEENS,Precinct 113,12/5/14
QUEENS,Precinct 113,12/15/14
BROOKLYN,Precinct 72,12/6/14
MANHATTAN,Precinct 5,12/21/14
BROOKLYN,Precinct 75,12/26/14
QUEENS,Precinct 110,12/14/14
BROOKLYN,Precinct 60,12/31/14
QUEENS,Precinct 107,12/26/14
BROOKLYN,Precinct 83,12/4/14
BRONX,Precinct 45,12/15/14
BRONX,Precinct 47,12/10/14
BRONX,Precinct 49,12/10/14
MANHATTAN,Precinct 33,12/18/14
MANHATTAN,Precinct 30,12/18/14
BROOKLYN,Unspecified,12/3/14
BRONX,Precinct 45,12/15/14
BROOKLYN,Precinct 75,12/4/14
BROOKLYN,Precinct 62,12/13/14
BROOKLYN,Precinct 94,12/3/14
BROOKLYN,Precinct 75,12/30/14
BRONX,Precinct 40,12/11/14
QUEENS,Precinct 103,12/15/14
BRONX,Precinct 40,12/2/14
BROOKLYN,Precinct 70,12/16/14
BROOKLYN,Precinct 72,12/15/14
BROOKLYN,Precinct 71,12/11/14
BROOKLYN,Precinct 71,12/11/14
BROOKLYN,Precinct 70,12/16/14
BROOKLYN,Precinct 68,12/7/14
QUEENS,Precinct 115,12/3/14
BROOKLYN,Precinct 73,12/24/14
MANHATTAN,Precinct 9,12/30/14
BROOKLYN,Precinct 84,12/2/14
BRONX,Precinct 49,12/4/14
BRONX,Precinct 47,12/3/14
BROOKLYN,Unspecified,12/24/14
BRONX,Precinct 45,12/20/14
BROOKLYN,Precinct 60,12/31/14
BRONX,Precinct 40,12/5/14
QUEENS,Precinct 114,12/18/14
BROOKLYN,Precinct 72,12/8/14
BROOKLYN,Precinct 72,12/12/14
BROOKLYN,Precinct 70,12/16/14
BROOKLYN,Precinct 75,12/10/14
BROOKLYN,Precinct 90,12/3/14
BROOKLYN,Precinct 75,12/5/14
BROOKLYN,Precinct 72,12/12/14
QUEENS,Precinct 106,12/4/14
BRONX,Precinct 45,12/20/14
BROOKLYN,Precinct 68,12/24/14
BROOKLYN,Precinct 88,12/29/14
BRONX,Precinct 41,12/4/14
BROOKLYN,Precinct 75,12/17/14
MANHATTAN,Precinct 34,12/2/14
BRONX,Precinct 45,12/15/14
MANHATTAN,Precinct 5,12/18/14
BROOKLYN,Precinct 75,12/10/14
BRONX,Unspecified,12/1/14
MANHATTAN,Unspecified,12/20/14
BRONX,Precinct 45,12/15/14
BROOKLYN,Precinct 73,12/24/14
BRONX,Precinct 45,12/17/14
BROOKLYN,Precinct 84,12/2/14
BROOKLYN,Precinct 94,12/3/14
BROOKLYN,Precinct 72,12/11/14
BROOKLYN,Precinct 84,12/2/14
